Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
Chargers,Daredevils,Chargers,10 runs,Cuttack,03-21-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419120.html
Super Kings,Kings XI,tied,,Chennai,03-21-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419121.html
Mum Indians,KKR,Mum Indians,7 wickets,Mumbai (BS),03-22-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419122.html
RCB,Super Kings,RCB,36 runs,Bengaluru,03-23-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419123.html
Kings XI,Royals,Royals,31 runs,Mohali,03-24-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419124.html
RCB,Daredevils,Daredevils,17 runs,Bengaluru,03-25-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419128.html
Mum Indians,Super Kings,Mum Indians,5 wickets,Mumbai (BS),03-25-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419125.html
Royals,Chargers,Royals,8 wickets,Ahmedabad,03-26-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419126.html
Kings XI,KKR,KKR,39 runs,Mohali,03-27-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419127.html
Royals,Super Kings,Royals,17 runs,Ahmedabad,03-28-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419129.html
Chargers,Mum Indians,Mum Indians,41 runs,Mumbai,03-28-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419130.html
Daredevils,KKR,Daredevils,40 runs,Delhi,03-29-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419131.html
Mum Indians,Kings XI,Mum Indians,4 wickets,Mumbai (BS),03-30-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419132.html
Super Kings,RCB,Super Kings,5 wickets,Chennai,03-31-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419133.html
Daredevils,Royals,Daredevils,67 runs,Delhi,03-31-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419134.html
KKR,Chargers,KKR,24 runs,Kolkata,04-01-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419135.html
Kings XI,RCB,RCB,6 wickets,Mohali,04-02-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419136.html
Super Kings,Royals,Super Kings,23 runs,Chennai,04-03-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419137.html
Mum Indians,Chargers,Mum Indians,63 runs,Mumbai (BS),04-03-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419138.html
KKR,Kings XI,Kings XI,8 wickets,Kolkata,04-04-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419139.html
Daredevils,RCB,Daredevils,37 runs,Delhi,04-04-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419140.html
Chargers,Royals,Royals,2 runs,Nagpur,04-05-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419141.html
Super Kings,Mum Indians,Super Kings,24 runs,Chennai,04-06-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419142.html
Royals,Kings XI,Royals,9 wickets,Jaipur,04-07-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419143.html
KKR,Daredevils,KKR,14 runs,Kolkata,04-07-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419144.html
RCB,Chargers,Chargers,7 wickets,Bengaluru,04-08-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419145.html
Kings XI,Mum Indians,Kings XI,6 wickets,Mohali,04-09-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419146.html
Chargers,Super Kings,Chargers,6 wickets,Nagpur,04-10-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419147.html
RCB,KKR,RCB,7 wickets,Bengaluru,04-10-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419148.html
Daredevils,Kings XI,Kings XI,7 wickets,Delhi,04-11-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419149.html
Royals,Mum Indians,Mum Indians,37 runs,Jaipur,04-11-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419150.html
Chargers,RCB,Chargers,13 runs,Nagpur,04-12-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419151.html
Mum Indians,Daredevils,Mum Indians,39 runs,Mumbai (BS),04-13-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419152.html
Super Kings,KKR,Super Kings,9 wickets,Chennai,04-13-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419153.html
Royals,RCB,RCB,5 wickets,Jaipur,04-14-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419154.html
Super Kings,Daredevils,Daredevils,6 wickets,Chennai,04-15-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419155.html
Kings XI,Chargers,Chargers,5 wickets,Dharamsala,04-16-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419156.html
RCB,Mum Indians,Mum Indians,57 runs,Bengaluru,04-17-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419157.html
KKR,Royals,KKR,8 wickets,Kolkata,04-17-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419158.html
Kings XI,Super Kings,Super Kings,6 wickets,Dharamsala,04-18-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419159.html
Daredevils,Chargers,Chargers,11 runs,Delhi,04-18-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419160.html
KKR,Mum Indians,KKR,9 wickets,Kolkata,04-19-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419161.html
RCB,Mum Indians,Mum Indians,35 runs,Mumbai,04-21-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419162.html
Super Kings,Chargers,Super Kings,38 runs,Mumbai,04-22-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419163.html
RCB,Chargers,RCB,9 wickets,Mumbai,04-24-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419164.html
Super Kings,Mum Indians,Super Kings,22 runs,Mumbai,04-25-2010,2010,http://stats.espncricinfo.com/ipl2010/engine/match/419165.html
Super Kings,Mum Indians,Mum Indians,19 runs,Cape Town,04-18-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392181.html
RCB,Royals,RCB,75 runs,Cape Town,04-18-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392182.html
Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,04-19-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392183.html
Chargers,KKR,Chargers,8 wickets,Cape Town,04-19-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392184.html
RCB,Super Kings,Super Kings,92 runs,Port Elizabeth,04-20-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392185.html
Kings XI,KKR,KKR,11 runs,Durban,04-21-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392186.html
Mum Indians,Royals,abandoned,,Durban,04-21-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392187.html
RCB,Chargers,Chargers,24 runs,Cape Town,04-22-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392188.html
Super Kings,Daredevils,Daredevils,9 runs,Durban,04-23-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392189.html
KKR,Royals,tied,,Cape Town,04-23-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392190.html
RCB,Kings XI,Kings XI,7 wickets,Durban,04-24-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392191.html
Chargers,Mum Indians,Chargers,12 runs,Durban,04-25-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392192.html
Super Kings,KKR,abandoned,,Cape Town,04-25-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392193.html
RCB,Daredevils,Daredevils,6 wickets,Port Elizabeth,04-26-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392194.html
Kings XI,Royals,Kings XI,27 runs,Cape Town,04-26-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392195.html
Super Kings,Chargers,Chargers,6 wickets,Durban,04-27-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392196.html
KKR,Mum Indians,Mum Indians,92 runs,Port Elizabeth,04-27-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392197.html
Daredevils,Royals,Royals,5 wickets,Centurion,04-28-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392198.html
RCB,KKR,RCB,5 wickets,Durban,04-29-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392199.html
Kings XI,Mum Indians,Kings XI,3 runs,Durban,04-29-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392200.html
Chargers,Daredevils,Daredevils,6 wickets,Centurion,04-30-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392201.html
Super Kings,Royals,Super Kings,38 runs,Centurion,04-30-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392202.html
KKR,Mum Indians,Mum Indians,9 runs,East London,05-01-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392203.html
RCB,Kings XI,RCB,8 runs,Durban,05-01-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392204.html
Chargers,Royals,Royals,3 wickets,Port Elizabeth,05-02-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392205.html
Super Kings,Daredevils,Super Kings,18 runs,Johannesburg,05-02-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392206.html
Kings XI,KKR,Kings XI,6 wickets,Port Elizabeth,05-03-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392207.html
RCB,Mum Indians,RCB,9 wickets,Johannesburg,05-03-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392208.html
Super Kings,Chargers,Super Kings,78 runs,East London,05-04-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392209.html
Kings XI,Royals,Royals,78 runs,Durban,05-05-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392210.html
Daredevils,KKR,Daredevils,9 wickets,Durban,05-05-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392211.html
Chargers,Mum Indians,Chargers,19 runs,Centurion,05-06-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392212.html
RCB,Royals,Royals,7 wickets,Centurion,05-07-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392213.html
Super Kings,Kings XI,Super Kings,12 runs,Centurion,05-07-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392214.html
Daredevils,Mum Indians,Daredevils,7 wickets,East London,05-08-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392215.html
Chargers,Kings XI,Kings XI,3 wickets,Kimberley,05-09-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392216.html
Super Kings,Royals,Super Kings,7 wickets,Kimberley,05-09-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392217.html
RCB,Mum Indians,Mum Indians,16 runs,Port Elizabeth,05-10-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392218.html
Daredevils,KKR,Daredevils,7 wickets,Johannesburg,05-10-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392219.html
Chargers,Royals,Chargers,53 runs,Kimberley,05-11-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392220.html
RCB,KKR,RCB,6 wickets,Centurion,05-12-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392221.html
Kings XI,Mum Indians,Mum Indians,8 wickets,Centurion,05-12-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392222.html
Chargers,Daredevils,Daredevils,12 runs,Durban,05-13-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392223.html
RCB,Super Kings,RCB,2 wickets,Durban,05-14-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392224.html
Mum Indians,Royals,Royals,2 runs,Durban,05-14-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392225.html
Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,05-15-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392226.html
Super Kings,Mum Indians,Super Kings,7 wickets,Port Elizabeth,05-16-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392227.html
Chargers,KKR,Chargers,6 wickets,Johannesburg,05-16-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392228.html
Chargers,Kings XI,Kings XI,1 run,Johannesburg,05-17-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392229.html
Daredevils,Royals,Daredevils,14 runs,Bloemfontein,05-17-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392230.html
Super Kings,KKR,KKR,7 wickets,Centurion,05-18-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392231.html
RCB,Daredevils,RCB,7 wickets,Johannesburg,05-19-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392232.html
KKR,Royals,KKR,4 wickets,Durban,05-20-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392233.html
Super Kings,Kings XI,Super Kings,24 runs,Durban,05-20-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392234.html
Daredevils,Mum Indians,Daredevils,4 wickets,Centurion,05-21-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392235.html
RCB,Chargers,RCB,12 runs,Centurion,05-21-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392236.html
Daredevils,Chargers,Chargers,6 wickets,Centurion,05-22-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392237.html
RCB,Super Kings,RCB,6 wickets,Johannesburg,05-23-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392238.html
RCB,Chargers,Chargers,6 runs,Johannesburg,05-24-2009,2009,http://stats.espncricinfo.com/ipl2009/engine/match/392239.html
RCB,KKR,KKR,140 runs,Bengaluru,04-18-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335982.html
Kings XI,Super Kings,Super Kings,33 runs,Mohali,04-19-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335983.html
Daredevils,Royals,Daredevils,9 wickets,Delhi,04-19-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335984.html
KKR,Chargers,KKR,5 wickets,Kolkata,04-20-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335986.html
Mum Indians,RCB,RCB,5 wickets,Mumbai,04-20-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335985.html
Royals,Kings XI,Royals,6 wickets,Jaipur,04-21-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335987.html
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),04-22-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335988.html
Super Kings,Mum Indians,Super Kings,6 runs,Chennai,04-23-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335989.html
Chargers,Royals,Royals,3 wickets,Hyderabad (Deccan),04-24-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335990.html
Kings XI,Mum Indians,Kings XI,66 runs,Mohali,04-25-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335991.html
Super Kings,KKR,Super Kings,9 wickets,Chennai,04-26-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335993.html
RCB,Royals,Royals,7 wickets,Bengaluru,04-26-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335992.html
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,04-27-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335995.html
Mum Indians,Chargers,Chargers,10 wickets,Mumbai,04-27-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335994.html
RCB,Super Kings,Super Kings,13 runs,Bengaluru,04-28-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335996.html
KKR,Mum Indians,Mum Indians,7 wickets,Kolkata,04-29-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335997.html
Daredevils,RCB,Daredevils,10 runs,Delhi,04-30-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335998.html
Royals,KKR,Royals,45 runs,Jaipur,05-01-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336000.html
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad (Deccan),05-01-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/335999.html
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,05-02-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336001.html
RCB,Chargers,RCB,3 runs,Bengaluru,05-03-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336034.html
Kings XI,KKR,Kings XI,9 runs,Mohali,05-03-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336003.html
Mum Indians,Daredevils,Mum Indians,29 runs,Mumbai,05-04-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336004.html
Royals,Super Kings,Royals,8 wickets,Jaipur,05-04-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336005.html
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,05-05-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336006.html
Super Kings,Chargers,Chargers,7 wickets,Chennai,05-06-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336007.html
Mum Indians,Royals,Mum Indians,7 wickets,Mumbai,05-07-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336008.html
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,05-08-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336009.html
KKR,RCB,KKR,5 runs,Kolkata,05-08-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336010.html
Royals,Chargers,Royals,8 wickets,Jaipur,05-09-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336011.html
Super Kings,Kings XI,Super Kings,18 runs,Chennai,05-10-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336013.html
Chargers,KKR,KKR,23 runs,Hyderabad (Deccan),05-11-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336014.html
Royals,Daredevils,Royals,3 wickets,Jaipur,05-11-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336015.html
Kings XI,RCB,Kings XI,9 wickets,Mohali,05-12-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336016.html
KKR,Daredevils,KKR,23 runs,Kolkata,05-13-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336017.html
Mum Indians,Super Kings,Mum Indians,9 wickets,Mumbai,05-14-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336018.html
Daredevils,Chargers,Daredevils,12 runs,Delhi,05-15-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336020.html
Mum Indians,KKR,Mum Indians,8 wickets,Mumbai,05-16-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336021.html
Royals,RCB,Royals,65 runs,Jaipur,05-17-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336023.html
Daredevils,Kings XI,Kings XI,6 runs,Delhi,05-17-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336022.html
KKR,Super Kings,Super Kings,3 runs,Kolkata,05-18-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336025.html
Chargers,Mum Indians,Mum Indians,25 runs,Hyderabad (Deccan),05-18-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336024.html
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,05-19-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336026.html
KKR,Royals,Royals,6 wickets,Kolkata,05-20-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336027.html
Mum Indians,Kings XI,Kings XI,1 run,Mumbai,05-21-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336028.html
Super Kings,RCB,RCB,14 runs,Chennai,05-21-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336029.html
Daredevils,KKR,abandoned,,Delhi,05-22-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336030.html
Kings XI,Chargers,Kings XI,6 wickets,Mohali,05-23-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336031.html
Super Kings,Royals,Royals,10 runs,Chennai,05-24-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336033.html
Daredevils,Mum Indians,Daredevils,5 wickets,Delhi,05-24-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336032.html
Chargers,RCB,RCB,5 wickets,Hyderabad (Deccan),05-25-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336002.html
KKR,Kings XI,KKR,3 wickets,Kolkata,05-25-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336035.html
Royals,Mum Indians,Royals,5 wickets,Jaipur,05-26-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336036.html
Chargers,Super Kings,Super Kings,7 wickets,Hyderabad (Deccan),05-27-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336037.html
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,05-28-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336012.html
Kings XI,Royals,Kings XI,41 runs,Mohali,05-28-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336019.html
Daredevils,Royals,Royals,105 runs,Mumbai,05-30-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336038.html
Super Kings,Kings XI,Super Kings,9 wickets,Mumbai,05-31-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336039.html
Super Kings,Royals,Royals,3 wickets,Mumbai,06-01-2008,2008,http://stats.espncricinfo.com/ipl/engine/match/336040.html
